"state","port_complex_orig","port_complex1","port_complex2","port_complex3","port_complex4","county","port","type","lat_dd","long_dd"
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Alameda","Alameda","individual",37.7798721,-122.2821855
"California","Eureka, Fort Bragg","Fort Bragg","Eureka","20 - Eureka","Mendocino, Sonoma, Lake","Mendocino","Albion","individual",39.2232406,-123.7680598
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Not specified","Santa Clara","Alviso","individual",37.4261669,-121.9761384
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Alameda, Contra Costa","Contra Costa","Antioch","individual",38.005,-121.805833
"California","Eureka","Eureka","Eureka","20 - Eureka","Del Norte, Humboldt","Humboldt","Arcata","individual",40.868056,-124.090556
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Avalon","individual",33.3428193,-118.3282279
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Avalon (Catalina Island)","individual",33.3428193,-118.3282279
"California","Morro Bay","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","Avila/Port San Luis","group",35.1787763,-120.7343817
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Solano, Yolo","Solano","Benicia","individual",38.063333,-122.156111
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Alameda","Berkeley","individual",37.8715226,-122.273042
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Alameda, Contra Costa","Contra Costa","Bethel Island","individual",38.015,-121.640556
"California","Monterey","Monterey","Monterey","50 - Monterey","Monterey","Monterey","Big Creek","individual",36.0701,-121.6004
"California","Bodega Bay, San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Mendocino, Sonoma, Lake","Sonoma","Bodega Bay","individual",38.33325,-123.0480571
"California","Bodega Bay","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Bolinas","individual",37.9093702,-122.6863733
"California","Santa Barbara","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","Cambria","individual",35.554167,-121.0875
"California","Monterey","Monterey","Monterey","50 - Monterey","Santa Cruz","Santa Cruz","Capitola","individual",36.976389,-121.954722
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","Cardiff","individual",33.020833,-117.279167
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Catalina Island","individual",33.3428193,-118.3282279
"California","Santa Barbara","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","Cayucos","individual",35.438333,-120.893611
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Channel Islands","group",34.049468,-119.560904
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Marin","Marin","China Camp","individual",38.001253,-122.4910747
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","Chula Vista","individual",32.6400541,-117.0841955
"California","Sacramento Delta, San Francisco","Sacramento Delta","Sacramento Delta","Sacramento Delta","Mendocino, Sonoma, Lake","Lake","Clear Lake","individual",38.958333,-122.626389
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Solano, Yolo","Solano","Collinsville","individual",38.07694,-121.84889
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Orange","Orange","Corona Del Mar","individual",33.588633,-117.878945
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Orange","Orange","Costa Mesa","individual",33.665,-117.912222
"California","Eureka","Eureka","Eureka","10 - Del Norte","Del Norte, Humboldt","Del Norte","Crescent City","individual",41.7557501,-124.2025913
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Orange","Orange","Dana Point","individual",33.4672256,-117.6981014
"California","Bodega Bay","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Dillon Beach","individual",38.250833,-122.965278
"California","San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Drakes Bay","individual",38.011944,-122.919167
"California","Fort Bragg","Fort Bragg","Eureka","20 - Eureka","Mendocino, Sonoma, Lake","Mendocino","Elk","individual",39.1304105,-123.7172951
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Alameda","Emeryville","individual",37.8395028,-122.2892278
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","Encinitas","individual",33.044444,-117.271667
"California","Eureka","Eureka","Eureka","20 - Eureka","Del Norte, Humboldt","Humboldt","Eureka","individual",40.8020712,-124.1636729
"California","Eureka","Eureka","Eureka","20 - Eureka","Del Norte, Humboldt","Humboldt","Fields Landing","individual",40.7249124,-124.2163772
"California","Eureka, Fort Bragg","Fort Bragg","Eureka","20 - Eureka","Mendocino, Sonoma, Lake","Mendocino","Fort Bragg","individual",39.445723,-123.8052935
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Gaviota","individual",34.4707557,-120.2276364
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Gaviota Beach","individual",34.4707557,-120.2276364
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Goleta Beach","individual",34.4168342,-119.8322099
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Guadalupe Beach","individual",34.9651314,-120.6504714
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","San Mateo","Half Moon Bay","individual",37.5049409,-122.4869222
"California","San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Hamlet","individual",38.207778,-122.925556
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Hermosa Beach","individual",33.8622366,-118.3995194
