comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Agujon,Ablennes hians,species,Ablennes hians,Flat needlefish,fish,Actinopterygii,Beloniformes,Belonidae,Ablennes
Mulegino,Abudefduf troschelii,species,Abudefduf troschelii,Panamic sergeant major,fish,Actinopterygii,Perciformes,Pomacentridae,Abudefduf
Peto,Acanthocybium solandri,species,Acanthocybium solandri,Wahoo,fish,Actinopterygii,Perciformes,Scombridae,Acanthocybium
Barbero,Acanthurus xanthopterus,species,Acanthurus xanthopterus,Yellowfin surgeonfish,fish,Actinopterygii,Perciformes,Acanthuridae,Acanthurus
Cirujano,Acanthurus xanthopterus,species,Acanthurus xanthopterus,Yellowfin surgeonfish,fish,Actinopterygii,Perciformes,Acanthuridae,Acanthurus
Tepalcate,Achirus mazatlanus,species,Achirus mazatlanus,Mazatlan sole,fish,Actinopterygii,Pleuronectiformes,Achiridae,Achirus
San pedro,Actinopterygii,group,Actinopterygii,NA,NA,NA,NA,NA,NA
Gavilan,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Bala,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Chucho,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Raya cubanita,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Obispo,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Macabi,Albula sp,group,Albula sp,NA,NA,NA,NA,NA,NA
Quijo,Albula sp,group,Albula sp,NA,NA,NA,NA,NA,NA
Macabi de agua dulce,Albula sp,group,Albula sp,NA,NA,NA,NA,NA,NA
Tiburon coludo,Alopias sp,group,Alopias sp,NA,NA,NA,NA,NA,NA
Tiburon zorro,Alopias sp,group,Alopias sp,NA,NA,NA,NA,NA,NA
Grillo,Alopias superciliosus,species,Alopias superciliosus,Bigeye thresher,fish,Elasmobranchii,Lamniformes,Alopiidae,Alopias
Grillo,Alopias vulpinus,species,Alopias vulpinus,Thresher,fish,Elasmobranchii,Lamniformes,Alopiidae,Alopias
Guaseta,Alphestes immaculatus,species,Alphestes immaculatus,Pacific mutton hamlet,fish,Actinopterygii,Perciformes,Serranidae,Alphestes
Almeja pata de mula,Anadara sp,group,Anadara sp,NA,NA,NA,NA,NA,NA
Anchoa,Anchoa sp,group,Anchoa sp,NA,NA,NA,NA,NA,NA
Mojarra piedrera,Anisotremus davidsonii,species,Anisotremus davidsonii,Xantic sargo,fish,Actinopterygii,Perciformes,Haemulidae,Anisotremus
Burriquete,Anisotremus sp,group,Anisotremus sp,NA,NA,NA,NA,NA,NA
Bacalao,Anoplopoma fimbria,species,Anoplopoma fimbria,Sablefish,fish,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma
Bacalao negro,Anoplopoma fimbria,species,Anoplopoma fimbria,Sablefish,fish,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma
Coral blanco,Anthozoa,group,Anthozoa,NA,NA,NA,NA,NA,NA
Coral rosa,Anthozoa,group,Anthozoa,NA,NA,NA,NA,NA,NA
Ostion de mangle,Antipathes galapagensis,species,Antipathes galapagensis,NA,invert,Anthozoa,Antipatharia,Antipathidae,Antipathes
Almeja catarina,Argopecten circularis,species,Argopecten irradians concentricus,NA,NA,NA,NA,NA,NA
Chihuil,Ariidae,group,Ariidae,NA,NA,NA,NA,NA,NA
Cuatete,Ariopsis guatemalensis,species,Ariopsis guatemalensis,Blue sea catfish,fish,Actinopterygii,Siluriformes,Ariidae,Ariopsis
