"port_code","agency","state1","state2","port_name","port_name_long1","port_name_long2","port_desc","port_yn","long_dd","lat_dd"
"4R","ADFG","Alaska","AK","Adak","Adak, Alaska","Adak, AK","Adak / W. Aleutians","yes",-176.6580556,51.88
"ANT","AFSC","Alaska","AK","Alaska At Sea, non-tribal","Alaska At Sea, non-tribal, Alaska","Alaska At Sea, non-tribal, AK","At Sea Non-Tribal - Pmfc","no",NA,NA
"ASP","AFSC","Alaska","AK","Alaska At Sea, PFMC","Alaska At Sea, PFMC, Alaska","Alaska At Sea, PFMC, AK","At Sea Processors - Pfmc","no",NA,NA
"APP","AFSC","Alaska","AK","Alaska At Sea, PFMC (CP/FP) ","Alaska At Sea, PFMC (CP/FP) , Alaska","Alaska At Sea, PFMC (CP/FP) , AK","At Sea Processors - Pfmc (Cp Or Floating)","no",NA,NA
"TAS","AFSC","Alaska","AK","Alaska At Sea, tribal","Alaska At Sea, tribal, Alaska","Alaska At Sea, tribal, AK","Tribal At Sea","no",NA,NA
"4M","ADFG","Alaska","AK","Alaska Peninsula","Alaska Peninsula, Alaska","Alaska Peninsula, AK","Alaska Peninsula","yes",-158.75,56.5
"AAL","ADFG","Alaska","AK","All Alaska ports","All Alaska ports, Alaska","All Alaska ports, AK","All Alaska Ports","no",NA,NA
"AYK","ADFG","Alaska","AK","Arctic-Yukon-Kuskokwim (A-Y-K) Region ports","Arctic-Yukon-Kuskokwim (A-Y-K) Region ports, Alaska","Arctic-Yukon-Kuskokwim (A-Y-K) Region ports, AK","A-Y-K Region","no",NA,NA
"4Q","ADFG","Alaska","AK","Bering Sea","Bering Sea, Alaska","Bering Sea, AK","Bering Sea","yes",-122.3867422,47.6682236
"4S","ADFG","Alaska","AK","Bristol Bay","Bristol Bay, Alaska","Bristol Bay, AK","Bristol Bay","yes",-160.6391038,57.9926243
"2T","ADFG","Alaska","AK","Bristol Bay (Central)","Bristol Bay (Central), Alaska","Bristol Bay (Central), AK","Bristol Bay (Central)","yes",-160.6391038,57.9926243
"CEN","ADFG","Alaska","AK","Central Region ports","Central Region ports, Alaska","Central Region ports, AK","Central Region","no",NA,NA
"4L","ADFG","Alaska","AK","Chignik","Chignik, Alaska","Chignik, AK","Chignik","yes",-158.4022222,56.2952778
"2H","ADFG","Alaska","AK","Cook Inlet","Cook Inlet, Alaska","Cook Inlet, AK","Cook Inlet","yes",-152.6440035,59.3721976
"4RC","ADFG","Alaska","AK","CP-Adak","CP-Adak, Alaska","CP-Adak, AK","Adak / W. Aleutians (Catcher Processor)","no",NA,NA
"AS1","ADFG","Alaska","AK","CP-Alaska At Sea 1","CP-Alaska At Sea 1, Alaska","CP-Alaska At Sea 1, AK","Adfg Catcher Processors Unloading At Sea (Catcher Processor)","no",NA,NA
"ASA","ADFG","Alaska","AK","CP-Alaska At Sea 2","CP-Alaska At Sea 2, Alaska","CP-Alaska At Sea 2, AK","Adfg Catcher Processors Unloading At Sea (Catcher Processor)","no",NA,NA
"4MC","ADFG","Alaska","AK","CP-Alaska Peninsula","CP-Alaska Peninsula, Alaska","CP-Alaska Peninsula, AK","Alaska Peninsula (Catcher Processor)","no",NA,NA
"4QC","ADFG","Alaska","AK","CP-Bering Sea","CP-Bering Sea, Alaska","CP-Bering Sea, AK","Bering Sea (Catcher Processor)","no",NA,NA
"4SC","ADFG","Alaska","AK","CP-Bristol Bay","CP-Bristol Bay, Alaska","CP-Bristol Bay, AK","Bristol Bay (Catcher Processor)","no",NA,NA
"2TC","ADFG","Alaska","AK","CP-Bristol Bay (Central)","CP-Bristol Bay (Central), Alaska","CP-Bristol Bay (Central), AK","Bristol Bay (Central) (Catcher Processor)","no",NA,NA
"4LC","ADFG","Alaska","AK","CP-Chignik","CP-Chignik, Alaska","CP-Chignik, AK","Chignik (Catcher Processor)","no",NA,NA
"2HC","ADFG","Alaska","AK","CP-Cook Inlet","CP-Cook Inlet, Alaska","CP-Cook Inlet, AK","Cook Inlet (Catcher Processor)","no",NA,NA
"4OC","ADFG","Alaska","AK","CP-Dutch Harbor","CP-Dutch Harbor, Alaska","CP-Dutch Harbor, AK","Dutch Harbor (Catcher Processor)","no",NA,NA
"1AC","ADFG","Alaska","AK","CP-Juneau","CP-Juneau, Alaska","CP-Juneau, AK","Juneau (Catcher Processor)","no",NA,NA
"1BC","ADFG","Alaska","AK","CP-Ketchikan","CP-Ketchikan, Alaska","CP-Ketchikan, AK","Ketchikan (Catcher Processor)","no",NA,NA
"4KC","ADFG","Alaska","AK","CP-Kodiak","CP-Kodiak, Alaska","CP-Kodiak, AK","Kodiak (Catcher Processor)","no",NA,NA
"3XC","ADFG","Alaska","AK","CP-Kotzebue","CP-Kotzebue, Alaska","CP-Kotzebue, AK","Kotzebue (Catcher Processor)","no",NA,NA
"3WC","ADFG","Alaska","AK","CP-Kuskokwim","CP-Kuskokwim, Alaska","CP-Kuskokwim, AK","Kuskokwim (Catcher Processor)","no",NA,NA
"3ZC","ADFG","Alaska","AK","CP-Norton Sound","CP-Norton Sound, Alaska","CP-Norton Sound, AK","Norton Sound (Catcher Processor)","no",NA,NA
"CPP","AFSC","Alaska","AK","CP-PFMC","CP-PFMC, Alaska","CP-PFMC, AK","Catcher-Processor Landings - Pfmc","no",NA,NA
"2EC","ADFG","Alaska","AK","CP-Prince William Sound","CP-Prince William Sound, Alaska","CP-Prince William Sound, AK","Prince William Sound (Catcher Processor)","no",NA,NA
"1DC","ADFG","Alaska","AK","CP-Sitka","CP-Sitka, Alaska","CP-Sitka, AK","Sitka (Catcher Processor)","no",NA,NA
"1CC","ADFG","Alaska","AK","CP-Wrangell-Petersburg","CP-Wrangell-Petersburg, Alaska","CP-Wrangell-Petersburg, AK","Petersburg / Wrangell (Catcher Processor)","no",NA,NA
"3YC","ADFG","Alaska","AK","CP-Yukon River","CP-Yukon River, Alaska","CP-Yukon River, AK","Yukon River (Catcher Processor)","no",NA,NA
"4O","ADFG","Alaska","AK","Dutch Harbor","Dutch Harbor, Alaska","Dutch Harbor, AK","Dutch Harbor","yes",-166.5400929,53.8945552
